CustomerID,Prod_Category1_Qnty,Prod_Category2_Qnty,Prod_Category3_Qnty,Amount_Spent,DaySinceFirstPurchase,DaySinceLastPurchase,ActiveDays,TransactionRate
12346,0,0,0,0.0,325,325,1,0.005128205128205128
12347,471,1082,905,4309.999999999997,367,2,7,0.46666666666666656
12348,720,1477,144,1797.24,358,75,4,0.07948717948717948
12349,13,432,186,1757.55,18,18,1,0.18717948717948715
12350,12,73,112,334.40000000000003,310,310,1,0.04358974358974359
12352,47,219,204,1545.4100000000005,296,36,7,0.2435897435897436
12353,0,0,20,89.0,204,204,1,0.010256410256410256
12354,78,323,129,1079.4,232,232,1,0.14871794871794872
12355,26,174,40,459.4,214,214,1,0.03333333333333333
12356,373,461,757,2811.4300000000007,325,22,3,0.15128205128205127
12357,104,1035,1569,6207.669999999996,33,33,1,0.33589743589743587
12358,0,128,120,1168.06,150,1,2,0.04871794871794872
12359,238,594,767,6182.980000000006,331,7,6,0.6435897435897435
12360,104,631,430,2662.0600000000004,200,52,3,0.33076923076923076
12361,34,57,0,189.89999999999998,287,287,1,0.02564102564102564
12362,431,1050,731,5154.580000000002,295,3,13,0.7025641025641025
12363,156,164,88,552.0,242,109,2,0.05897435897435897
12364,389,756,361,1313.1000000000001,112,7,4,0.21794871794871792
12365,1,66,106,320.69,291,291,1,0.05897435897435898
12367,24,123,26,168.9,4,4,1,0.028205128205128202
12370,467,634,1251,3541.939999999998,360,51,4,0.4256410256410256
12371,24,218,349,1887.9600000000003,59,44,2,0.16153846153846155
12372,120,510,164,1298.0400000000002,296,71,3,0.13333333333333333
12373,90,107,0,364.6,311,311,1,0.035897435897435895
12374,26,152,164,742.93,25,25,1,0.08461538461538462
12375,49,124,4,455.42000000000013,98,2,3,0.04615384615384615
12377,60,558,326,1628.1199999999997,354,315,2,0.19743589743589743
12378,490,1082,957,4008.6200000000013,129,129,1,0.5615384615384615
12379,117,239,50,850.2899999999996,170,81,3,0.10512820512820513
12380,364,482,280,2720.56,185,21,5,0.2692307692307692
12381,186,400,197,1803.9600000000005,119,4,6,0.23333333333333336
12383,180,1064,285,1839.3099999999997,352,184,6,0.2564102564102564
12384,17,64,40,566.16,121,28,3,0.07692307692307693
12386,0,168,186,401.90000000000003,366,337,2,0.02564102564102564
